,Unnamed: 0,Unnamed: 0.1,Unnamed: 0_x,provinceName,provinceEnglishName,province_zipCode,cityName,cityEnglishName,city_zipCode,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime,Latitude,Longitude,GbProv_x,Prov_CH_x,ProvEN,Total,三级甲等医院,专科医院,传染病医院,医疗保健服务场所,卫生院,口腔医院,妇科医院,急救中心,整形美容,疾病预防,眼科医院,精神病医院,综合医院,耳鼻喉医院,肿瘤医院,胸科医院,脑科医院,诊所,骨科医院,Unnamed: 0_y,Population,Land_Area_mi2,Temperature_03_12
40,40,40,182,天津市,Tianjin,12,河东区,Hedong,120102.0,136,0,102,3,15,0,11,1,08:53.7,39.13448733,117.258413,12,天津市,Tianjin,4498,229,8.0,12,860,750,814,34,41,131,62,68,7.0,638,10.0,17.0,25.0,6,735,51,,,,274.63
41,41,41,183,天津市,Tianjin,12,南开区,Nankai,120104.0,136,0,102,3,6,0,2,0,08:53.7,39.14410528,117.1565154,12,天津市,Tianjin,4498,229,8.0,12,860,750,814,34,41,131,62,68,7.0,638,10.0,17.0,25.0,6,735,51,,,,274.63
42,42,42,184,天津市,Tianjin,12,宝坻区,Baodi,120115.0,136,0,102,3,60,0,39,2,08:53.7,39.72319448,117.3166007,12,天津市,Tianjin,4498,229,8.0,12,860,750,814,34,41,131,62,68,7.0,638,10.0,17.0,25.0,6,735,51,,,,274.63
43,43,43,185,天津市,Tianjin,12,河北区,Hebei,120105.0,136,0,102,3,12,0,10,0,08:53.7,39.15348514,117.2035928,12,天津市,Tianjin,4498,229,8.0,12,860,750,814,34,41,131,62,68,7.0,638,10.0,17.0,25.0,6,735,51,,,,274.63
44,44,44,186,天津市,Tianjin,12,滨海新区,Binhai New Area,120116.0,136,0,102,3,3,0,3,0,08:53.7,39.00941577,117.71739879999998,12,天津市,Tianjin,4498,229,8.0,12,860,750,814,34,41,131,62,68,7.0,638,10.0,17.0,25.0,6,735,51,,,,274.63
45,45,45,187,天津市,Tianjin,12,西青区,Xiqing,120111.0,136,0,102,3,4,0,4,0,08:53.7,39.14872661,117.0144102,12,天津市,Tianjin,4498,229,8.0,12,860,750,814,34,41,131,62,68,7.0,638,10.0,17.0,25.0,6,735,51,,,,274.63
46,46,46,188,天津市,Tianjin,12,红桥区,Hongqiao,120106.0,136,0,102,3,2,0,2,0,08:53.7,39.17328565,117.1575179,12,天津市,Tianjin,4498,229,8.0,12,860,750,814,34,41,131,62,68,7.0,638,10.0,17.0,25.0,6,735,51,,,,274.63
47,47,47,189,天津市,Tianjin,12,武清区,Wuqing,120114.0,136,0,102,3,2,0,2,0,08:53.7,39.38987123,117.0505972,12,天津市,Tianjin,4498,229,8.0,12,860,750,814,34,41,131,62,68,7.0,638,10.0,17.0,25.0,6,735,51,,,,274.63
48,48,48,191,湖北省,Hubei,42,咸宁,Xianning,421200.0,65914,0,26403,2682,836,0,644,11,35:31.3,29.84705595,114.3285191,42,湖北省,Hubei,27037,548,30.0,42,9468,2594,2191,112,244,351,493,208,58.0,2387,47.0,28.0,12.0,19,8036,169,186.0,"350,000",3764.0,285.56
49,49,49,192,湖北省,Hubei,42,十堰,Shiyan,420300.0,65914,0,26403,2682,671,0,389,6,35:31.3,32.63506186,110.80452959999998,42,湖北省,Hubei,27037,548,30.0,42,9468,2594,2191,112,244,351,493,208,58.0,2387,47.0,28.0,12.0,19,8036,169,178.0,"1,241,000",395.0,281.03
50,50,50,193,湖北省,Hubei,42,黄石,Huangshi,420200.0,65914,0,26403,2682,1013,0,653,33,35:31.3,30.20520785,115.0455329,42,湖北省,Hubei,27037,548,30.0,42,9468,2594,2191,112,244,351,493,208,58.0,2387,47.0,28.0,12.0,19,8036,169,177.0,"828,000",1769.0,284.69
51,51,51,194,湖北省,Hubei,42,荆门,Jingmen,420800.0,65914,0,26403,2682,924,0,534,37,35:31.3,31.04173258,112.206393,42,湖北省,Hubei,27037,548,30.0,42,9468,2594,2191,112,244,351,493,208,58.0,2387,47.0,28.0,12.0,19,8036,169,182.0,"489,000",4789.0,278.24
52,52,52,195,湖北省,Hubei,42,襄阳,Xiangyang,420600.0,65914,0,26403,2682,1175,0,753,32,35:31.3,32.0147968,112.1285372,42,湖北省,Hubei,27037,548,30.0,42,9468,2594,2191,112,244,351,493,208,58.0,2387,47.0,28.0,12.0,19,8036,169,,"1,658,000",7616.0,279.09
53,53,53,196,湖北省,Hubei,42,鄂州,Ezhou,420700.0,65914,0,26403,2682,1389,0,685,43,35:31.3,30.39657217,114.9016074,42,湖北省,Hubei,27037,548,30.0,42,9468,2594,2191,112,244,351,493,208,58.0,2387,47.0,28.0,12.0,19,8036,169,181.0,"668,000",581.0,283.45
54,54,54,197,湖北省,Hubei,42,随州,Suizhou,421300.0,65914,0,26403,2682,1307,0,740,38,35:31.3,31.69651677,113.38945,42,湖北省,Hubei,27037,548,30.0,42,9468,2594,2191,112,244,351,493,208,58.0,2387,47.0,28.0,12.0,19,8036,169,187.0,"445,000",3720.0,279.2
55,55,55,198,湖北省,Hubei,42,荆州,Jingzhou,421000.0,65914,0,26403,2682,1579,0,913,46,35:31.3,30.34084211,112.2455226,42,湖北省,Hubei,27037,548,30.0,42,9468,2594,2191,112,244,351,493,208,58.0,2387,47.0,28.0,12.0,19,8036,169,184.0,"1,038,000",5432.0,284.14
56,56,56,199,湖北省,Hubei,42,黄冈,Huanggang,421100.0,65914,0,26403,2682,2904,0,2041,114,35:31.3,30.45935886,114.8784905,42,湖北省,Hubei,27037,548,30.0,42,9468,2594,2191,112,244,351,493,208,58.0,2387,47.0,28.0,12.0,19,8036,169,185.0,"6,291,000",6736.0,283.45
57,57,57,200,湖北省,Hubei,42,孝感,Xiaogan,420900.0,65914,0,26403,2682,3517,0,1795,114,35:31.3,30.93068923,113.9225101,42,湖北省,Hubei,27037,548,30.0,42,9468,2594,2191,112,244,351,493,208,58.0,2387,47.0,28.0,12.0,19,8036,169,183.0,"783,000",3445.0,283.77
58,58,58,201,湖北省,Hubei,42,武汉,Wuhan,420100.0,65914,0,26403,2682,48137,0,15826,2132,35:31.3,30.59846674,114.31158159999998,42,湖北省,Hubei,27037,548,30.0,42,9468,2594,2191,112,244,351,493,208,58.0,2387,47.0,28.0,12.0,19,8036,169,176.0,"8,365,000",3280.0,283.77
